,HSG_Area_20m,HSG_Area_30m,HSG_Average_Slope_30m,HSG_Force_15m,HSG_Force_20m,HSG_Force_30m,HSG_Moment_20m,HSG_Rate_Vol_15m,HSG_Rate_Vol_20m,HSG_Rate_Vol_30m,HSG_Rocket_15m,HSG_SRC_1h,HSG_VWAP_close_1h,HSG_VWAP_close_30m,HSG_VWAP_correlation_rank_15m,HSG_WilliamsAd_1h,HSG_acceleration_15m,HSG_acceleration_20m,HSG_acceleration_30m,HSG_buy_sell_battle_15m,HSG_buyhighselllow_1h,HSG_close_score_1h,HSG_close_score_30m,HSG_highlow_1h,HSG_hlvwap_15m,HSG_hlvwap_1h,HSG_hlvwap_20m,HSG_kc_5m,HSG_mean_ret_1h,HSG_mean_ret_30m,HSG_midpoint_15m,HSG_midpoint_20m,HSG_new_percentrank_30m,HSG_standing_wave_1h,HSG_stochastic_30m,HSG_sup_resis_1h,HSG_sup_resis_30m,HSG_tcal_ret_5m,HSG_thep_15m
2022-01-02,0.061917133678323126,0.06525638803888915,0.0046155395070725524,0,0,0.000945761642012541,0.014503569781065775,0,0.008800511610721642,0.027572236989471356,0.05089487412161982,0,0,0,0.03164220421109497,0.02098124616004192,0.11546512823889891,0.07546257499842335,0.047632457502974374,0,0,0,0,0.07079051645935146,0,0,0,0,0.05081043869033827,0.16457604054016392,0,0.0006620956893075738,0,0.025705985659207002,0.14229715667004306,0,0,0.0,0.01946813981098137
2022-01-09,0.06107828040762451,0.0642270666888255,0.0036437332640997366,0,0,0.0,0.012328473068115598,0,0.011849104938370518,0.02749665350823047,0.05291544398716669,0,0,0,0.033782513512247536,0.020958555182084507,0.11136252715063814,0.06988306621063235,0.053020072433678435,0,0,0,0,0.07279691648205389,0,0,0,0,0.05140581867013537,0.16529391578891317,0,0.0,0,0.026301278212301635,0.14211236214956852,0,0,0.0,0.01954421834531206
2022-01-16,0.060984464665461244,0.06331061902927886,0.004056320161259049,0,0,0.0,0.007633980367436228,0,0.00952460607656313,0.03225237259429985,0.053444915427718835,0,0,0,0.03722564641005761,0.022450174318554894,0.11457333442328961,0.06289257115451173,0.05594420660422526,0,0,0,0,0.07236427399582661,0,0,0,0,0.04794387852417543,0.1679591808707864,0,0.0,0,0.02612004316212953,0.14419263403850527,0,0,0.0,0.01712677817592012
2022-01-23,0.06326105209854614,0.062191049659656814,0.0026114074182426966,0,0,0.0,0.010392203755524326,0,0.004273613557844583,0.03136303747506204,0.05413205576020365,0,0,0,0.036974154453676224,0.02613121834150695,0.11320856920629496,0.06551006832755275,0.06074559563873497,0,0,0,0,0.07039465320724003,0,0,0,0,0.04467679401784417,0.1664103248094934,0,0.0,0,0.025658884209497603,0.144792273577729,0,0,0.0009387580075870276,0.01633428647776103
2022-01-30,0.06396026389683891,0.06375689945890127,0.0040681945326380455,0,0,0.0018578237108403213,0.012150231445028487,0,0.0004555479765812175,0.031595337609902935,0.051243220899746963,0,0,0,0.03786994002809782,0.023412912773574195,0.1127768367290402,0.06057569506199527,0.06028258034620029,0,0,0,0,0.0709367351880836,0,0,0,0,0.046121484302519,0.16794926388900447,0,0.0,0,0.02279210083405643,0.14557597953848228,0,0,0.003474585980581174,0.019144365797885816
2022-02-06,0.06396026389683891,0.06375689945890127,0.0040681945326380455,0,0,0.0018578237108403213,0.012150231445028487,0,0.0004555479765812175,0.031595337609902935,0.051243220899746963,0,0,0,0.03786994002809782,0.023412912773574195,0.1127768367290402,0.06057569506199527,0.06028258034620029,0,0,0,0,0.0709367351880836,0,0,0,0,0.046121484302519,0.16794926388900447,0,0.0,0,0.02279210083405643,0.14557597953848228,0,0,0.003474585980581174,0.019144365797885816
2022-02-13,0.060205380778609686,0.06507138151596681,0.002947485443653207,0,0,0.0,0.009297141241381824,0,0.0011356060935900777,0.036366163231998434,0.04877919877877838,0,0,0,0.037319796146682384,0.02491942011134311,0.11278703652652647,0.06210219989532707,0.06085240151944357,0,0,0,0,0.0734255357636977,0,0,0,0,0.04771306897442031,0.1664655198147539,0,0.0,0,0.0211126664757144,0.1474172275174447,0,0,0.002471663015228787,0.019611107155438064
2022-02-20,0.06208271859581411,0.0643454105622285,0.003944603776638493,0,0,0.0,0.005816021487311239,0,0.0035746053850273215,0.04168486719187762,0.05251490150883461,0,0,0,0.039376762832245074,0.023895196002190425,0.11832770006751253,0.06020020932054602,0.057749814774415494,0,0,0,0,0.06719944131644029,0,0,0,0,0.043890954019730734,0.16722346659143233,0,0.0,0,0.02209208952704091,0.14762364173186474,0,0,0.0003637387344581752,0.018093856574390343
2022-02-27,0.06101932240993788,0.06450697135804466,0.009637713868145704,0,0,0.0,0.004542027278036983,0,0.003691524670917023,0.04009764749781912,0.04814581591508186,0,0,0,0.03864688293183435,0.02217405060529375,0.11257111740458813,0.06381505255243615,0.059865280739803024,0,0,0,0,0.06479830412162674,0,0,0,0,0.047575926393035005,0.16859534790448136,0,0.0,0,0.023412063107194736,0.1459061203295166,0,0,0.0003088315390993438,0.020689999373108704
2022-03-06,0.06155301677028576,0.06538620746419896,0.010128584966270532,0,0,0.0,0.005159516370157301,0,0.000869681552219635,0.04016253175251853,0.04708123861491699,0,0,0,0.04269188032383441,0.022786158842231286,0.1151831612118739,0.061989581349183046,0.061302971075677545,0,0,0,0,0.06225050756146843,0,0,0,0,0.045599836296311806,0.16778376851743798,0,0.0,0,0.02192181982340178,0.1482978993901914,0,0,0.0,0.019851638117820324
2022-03-13,0.06359643586181138,0.06751131772344765,0.009582683800312242,0,0,0.0,0.0036490344513118323,0,0.0,0.04464775811761321,0.04182805878920169,0,0,0,0.04165146215324557,0.024425238853542423,0.11280632278160789,0.07021350130519209,0.05406440567139108,0,0,0,0,0.06115362338836125,0,0,0,0,0.04669739931113167,0.16474341000746587,0,0.0,0,0.023334882364198496,0.15128731426266212,0,0,0.0033447249231075794,0.015462426234395945
2022-03-20,0.0645778747262452,0.06827544133011385,0.010804452368522685,0,0,0.0,0.0073378069991098345,0,0.0,0.04459173933269323,0.044238116201446166,0,0,0,0.04135416095893711,0.02359330728532021,0.10699196198234856,0.06588453174098496,0.059108943509669165,0,0,0,0,0.06357045833769655,0,0,0,0,0.043940980133740426,0.16512901631352675,0,0.0,0,0.022754527605407766,0.14719552539966782,0,0,0.0028857856811805665,0.017765370093389014
2022-03-27,0.06599300755181892,0.0684194449409614,0.010818999529340984,0,0,0.0,0.009054363687614348,0,0.0,0.046006758101013956,0.04370287891723181,0,0,0,0.041096401154115836,0.024750817937043344,0.10327594110643162,0.07162124153245719,0.05358226146080767,0,0,0,0,0.06292724508119689,0,0,0,0,0.04265048507799325,0.1672916694459555,0,0.0,0,0.02018523289862318,0.14848939007992903,0,0,0.0027931139874525102,0.01734074751001353
2022-04-03,0.06453711510007558,0.07016869159789912,0.008993607931867958,0,0,0.0,0.00881880112428122,0,0.0,0.04422768783039447,0.04657882534337626,0,0,0,0.03876352304311143,0.02577548527236112,0.10335573753983496,0.07594309838479367,0.04684517089215051,0,0,0,0,0.0668201744869825,0,0,0,0,0.04145408529329018,0.1682569406114494,0,0.0008469809112086608,0,0.019203619660151435,0.14866677868665726,0,0,0.0034660614176251613,0.01727761487248892
